category,A,M,k,E_over_C,surplus,H_ratio,budget_ratio,worst_r_over_q,theoretical_ok,actual_ok,decomp_ok,first_mismatch_x,first_mismatch_sum,first_mismatch_F,max_gap,true_ratio,C,E,V,U,budget
random<=100,"{4,5,6,7}",7,4,50.01020408163266,-276.8380952380953,2.9999999999999996,2.1299217928358996,0.016666666666666666,False,False,False,10,5,6,20,1.2239583333333335,1.866666666666667,93.35238095238097,2.883333333333333,0.5462603399801735,3.97585401329368
random<=100,"{15,18,19,27,31,33,35,50,52,56}",56,10,2518471.2244224423,-31311360.259869177,3.3241758241758235,2.48402696960444,1.7589151714788387e-07,False,False,False,56,10,15,124,1.1298245614035087,4.1442292851460945,10437122.202049227,6.2384867642366215,2.0279452741454023,10.294377312527427
random<=100,"{32,36,37,50,56,58,60,63,66,71}",71,10,29061302.33658467,-322882561.24049634,3.7616901408450705,2.7618168998332804,6.7241446551791384e-09,False,False,False,72,11,12,93,1.3153846153846152,3.7034652207066006,107627522.47198078,7.611349594108214,1.3084716201920332,10.22829283449228
random<=100,"{7,52,86}",86,3,113.36517913262098,-2480.048556095068,1.2379807692307694,0.5071977269976492,0.005494505494505494,False,True,False,86,8,14,72,1.1192307692307693,7.318681318681319,829.6836187068745,1.3351648351648344,1.1884268471452442,3.7120185294553227
random<=100,"{27,29,30,35,39,42,44,46,47,49}",49,10,139215482.24323958,-1201056769.4769025,5.192743764172336,3.3588250333928884,1.2392752193064803e-09,False,False,False,54,10,11,97,1.3750000000000002,2.8757739564974254,400352258.17633814,7.447738950348815,1.105741302557024,9.659221555462864
random<=100,"{32,47,57,59,63,65,70,73,76,84}",84,10,798579966.2294787,-8821903105.208849,3.557539682539683,2.6539743760905203,5.000003700002738e-10,False,False,False,94,11,12,95,1.3701434159061276,3.682329252923648,2940634370.4455886,7.3176707470763525,1.2275683672557798,9.772807481587911
random<=100,"{70,72,85}",85,3,300.47137254901963,-1285.0610644257704,2.261764705882353,1.7732468446866727,0.001984126984126984,False,False,False,140,3,4,19,1.8233024691358026,1.4285714285714288,429.24481792717097,1.7519841269841268,0.3906128255698459,2.5332097781238185
random<=100,"{18,21,32,35}",35,4,42.89142857142858,-246.85555555555558,2.419047619047619,1.9456326606755332,0.010416666666666666,False,False,False,36,4,5,31,1.353174603174603,1.9444444444444446,83.40000000000002,2.4456018518518516,0.668786383064176,3.7831746179802037
random<=100,"{8,10,11,19,21,26,27,31}",31,8,1742671.6214053512,-20424959.67662898,3.578125,2.408986552432682,1.947370368423e-07,False,False,False,31,9,13,100,1.1618819776714515,3.9068300120931716,6808321.791729495,6.239419987906828,1.5860404869330171,9.411500961772862
random<=100,"{34,54,61}",61,3,439.24218353895543,-3337.2544733740497,1.5882352941176472,1.2266754795868176,0.0010893246187363833,False,False,False,102,4,5,12,1.6097449908925319,2.535947712418301,1113.8952105432336,1.3877995642701526,0.8614926560338299,3.1107848763378123
